obprof_path,wave_condition,test_id,profile_name,combo_label,transect_mat,rmse_z_gt_threshold,x_meas_end_model,saved_zoom,saved_full,saved_bedchange,crest_z_model,crest_z_meas,crest_z_error,crest_x_model,crest_x_meas,crest_x_error,effb,efff,slp,slpot,gamma,has_param_overrides
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE1/cntrl/combo_0027/OBPROF,shallow_overwash,TestE1,cntrl,combo_0027,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024023372570112694,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE1__cntrl__combo_0027_dune_zoom.png,,,0.492270026,0.4824448506859123,0.00982517531408772,51.28,51.265,0.015000000000000568,0.005,0.01,0.35,0.1,0.45,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE2/cntrl/combo_0025/OBPROF,shallow_overwash,TestE2,cntrl,combo_0025,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.02402415108692163,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE2__cntrl__combo_0025_dune_zoom.png,,,0.492273382,0.4824448506859123,0.009828531314087674,51.28,51.265,0.015000000000000568,0.005,0.01,0.35,0.04,0.45,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE2/cntrl/combo_0027/OBPROF,shallow_overwash,TestE2,cntrl,combo_0027,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.02402415108692163,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE2__cntrl__combo_0027_dune_zoom.png,,,0.492273382,0.4824448506859123,0.009828531314087674,51.28,51.265,0.015000000000000568,0.005,0.01,0.35,0.1,0.45,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE1/cntrl/combo_0013/OBPROF,shallow_overwash,TestE1,cntrl,combo_0013,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024067317877293295,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE1__cntrl__combo_0013_dune_zoom.png,,,0.493604405,0.4824448506859123,0.011159554314087716,51.26,51.265,-0.005000000000002558,0.0025,0.01,0.5,0.04,0.45,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE1/cntrl/combo_0015/OBPROF,shallow_overwash,TestE1,cntrl,combo_0015,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024067317877293295,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE1__cntrl__combo_0015_dune_zoom.png,,,0.493604405,0.4824448506859123,0.011159554314087716,51.26,51.265,-0.005000000000002558,0.0025,0.01,0.5,0.1,0.45,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE2/cntrl/combo_0013/OBPROF,shallow_overwash,TestE2,cntrl,combo_0013,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024070965492546847,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE2__cntrl__combo_0013_dune_zoom.png,,,0.493606702,0.4824448506859123,0.0111618513140877,51.26,51.265,-0.005000000000002558,0.0025,0.01,0.5,0.04,0.45,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE2/cntrl/combo_0015/OBPROF,shallow_overwash,TestE2,cntrl,combo_0015,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024070965492546847,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE2__cntrl__combo_0015_dune_zoom.png,,,0.493606702,0.4824448506859123,0.0111618513140877,51.26,51.265,-0.005000000000002558,0.0025,0.01,0.5,0.1,0.45,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE1/cntrl/combo_0010/OBPROF,shallow_overwash,TestE1,cntrl,combo_0010,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024110752146397015,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE1__cntrl__combo_0010_dune_zoom.png,,,0.490899377,0.4824448506859123,0.008454526314087718,51.285,51.265,0.01999999999999602,0.0025,0.01,0.35,0.04,0.55,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE1/cntrl/combo_0012/OBPROF,shallow_overwash,TestE1,cntrl,combo_0012,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024110932561057074,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE1__cntrl__combo_0012_dune_zoom.png,,,0.490547642,0.4824448506859123,0.008102791314087698,51.285,51.265,0.01999999999999602,0.0025,0.01,0.35,0.1,0.55,True
/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/shallow_overwash/TestE2/cntrl/combo_0010/OBPROF,shallow_overwash,TestE2,cntrl,combo_0010,/Users/elizabeth/cshore/flume_data/final_transects_shallowoverwash.mat,0.024112905275343204,51.705,/Users/elizabeth/cshore/flume_data/generated_infiles_sweep/sweep_postprocessing_figures/shallow_overwash__TestE2__cntrl__combo_0010_dune_zoom.png,,,0.490905827,0.4824448506859123,0.00846097631408771,51.285,51.265,0.01999999999999602,0.0025,0.01,0.35,0.04,0.55,True
